question	answer
c a m i l a	c a m i l a
h ế	t h ế
c n b l u e	c n b l u e
l ầ m	l ầ n
h ả j	h ả i
g ư ơ n g	h ư ơ n g
r e n o	r e n o
t h ư ơ n g	t h ư ở n g
c r 0 4 t j 4	c r o a t i a
0 h á t	p h á t
c b à o	c h à o
k ì m h	h ì n h
đ 4	đ a i
h o m e	h o m e
d à n b	d à n g
w i d	w i d
b ẩ n	b ẩ n
a t k	a t k
f h ô n g	t h ô n g
b o m b a r d i e r	b o m b a r d i e r
d ờ i	đ ờ i
t h i ê j	t h i ê n
s o n h	s o n g
c b a	c h a
a n g e l e d	a n g e l e s
đ j ê u	đ i ề u
c 4 m 3 r 4	c a m e r a
d ư ờ n g	đ ư ờ n g
t h ò	t h ò
c ư ơ c	c ư ớ c
k à n q	h à n h
q q ư ờ j	n g ư ờ i
m u j c	m ụ c
n q à q	n g à n
d u r e x	d u r e x
k j ệ	k i ệ n
z a	x a
đ i j n h	đ ị n h
l a i	l ạ i
n ổ u	n ổ i
h o ạ i	h o ạ i
s ả y	s ả y
v i c e n t r a	v i c e n t r a
t h c	t h ự c
d 0 4 m h	d o a n h
j h ắ c	k h ắ c
w o r l r	w o r l d
t a n	t a n g
t o	t o
t r e n d	t r e n d
t e q u i l l a	t e q u i l l a
t r ọ j g	t r ọ n g
k h à n	k h à n
s a s c h	s á c h
n q h j ê j p	n g h i ệ p
v ă j	v ă n
w ố	s ố
s h e l o c k	s h e r l o c k
n q u y ệ j	n g u y ệ n
h h ự c	t h ự c
t r á b h	t r á n h
d á n q	d á n g
f h d	f h d
v ư ớ n	v ư ớ n
t r a n h	t r a n h
b a s c	b á c
x o g	x o n g
h ô i	n ô i
q u ă n q	q u ă n g
m 0 n q	m o n g
t j ứ	t h ứ
d ố k	d ố i
c ầ q	c ầ n
ũ i	m ũ i
t ú n g	t ú n g
t ư a d r i a n a	t ư a d r i a n a
t h ỏ w	t h ỏ a
r ừ n g	r ừ n g
c ạ n	c ạ n
k h ả	k h ả
b i n h	m i n h
t á n g	t á n g
k h o ả n v	k h o ả n g
q u 3 n	q u e n
a l e x a	a l e x a
t ư ờ n q	t r ư ờ n g
s â j	s â u
c 4 r b 0 n h y d r 4 t	c a r b o n h y d r a t
s h u y ê n	c h u y ê n
q j ả n g	q u ả n g
c m ồ n q	c h ồ n g
v i n a	v i n a
h y y	h u y
m ô m	m ô n
b q à y	n g à y
r ằ n m	r ằ n g
d 4 u	s a u
t h i ê u	t h i ế u
t h ứ d	t h ứ c
n i e e n	n i ê n
s i s i	s i s i
l ư ơ j c	l ư ợ c
l o j g	l o n g
g i ư	g i ữ
đ t	đ ặ t
k ủ	p h ủ
h u y ê j n	h u y ệ n
b j ế	b i ế t
r â n	d â n
c h í m h	c h í n h
ẹ p	đ ẹ p
t i ế p	t i ế p
h ư ớ c	h ư ớ c
r ằ n f	r ằ n g
n 4 j	n a m
q â t	g â y
h ằ m	n h ằ m
x ù n	x u n g
h e b e r t y	h e b e r t y
a n o l i s	a n o l i s
t r é t	t r é t
n ắ k	l ắ k
h i h a	h i h a
n a p o l i	n a p o l i
b h ó m	n h ó m
m ỗ j	n ỗ i
r ụ t	r ụ t
c h ư ơ b g	c h ư ơ n g
r m a n i a	r o m a n i a
r ỡ	r ỡ
o n e w e b	o n e w e b
c h à m g	c h à n g
y h á n g	t h á n g
s ố n m	s ố n g
c h ứ x	c h ứ c
g i ả h	g i ả m
s u ỷ	q u ỷ
r a	t u ầ n
d d 3 m	đ e m
t r ờ	t r ờ i
đ ề u	đ é o
t ồ n g	r ồ n g
p á o	p h á o
g ả	g i ả
k h ơ r j	k h ở i
t h o	t h ả o
c h ấ m	c h ấ m
c h u y e e n	c h u y ê n
n ế u	h ọ
l ồ n g	l ồ n g
t ắ n	t ắ n
c h j ế s	c h i ế c
l ồ	l ồ
r ổ n g	t ổ n g
s t 3 q 4 n 0 q r 4 p h y	s t e g a n o g r a p h y
v i	v ì
ơ i	r ơ i
b z	b a
v i d t i t l e	v i d t i t l e
p 0 ạ j	l o ạ i
t h ì u	t h ì u
f i t b i t	f i t b i t
l ẹ p	l ẹ p
b à i	b à i
g h é p	g h é p
q j ả n q	g i ả n g
t a o	t ế
v i e t s t o c k f i n b a c e	v i e t s t o c k f i n n a c e
j j f 0 q r 4 p h j c	i n f o g r a p h i c
p h i h	p h i m
n g ư	n g ư
đ o á n	đ o á n
a v e n t a x o r	a v e n t a d o r
g x i	g a i
d ậ p	d ậ p
l ă n g	l ă n g
u ồ n q	x u ồ n g
k í n h	k í n h
t j ế n q	t i ế n g
n g ũ	n g ũ
l à n	l à n
h o t a n	h o t a n
c r u j f f	c r u y f f
g u ố c	g u ố c
n j ậ p	n h ậ p
h u y ê n	c h u y ê n
k h d n	k h e n
s â y	x â y
v ớ	v ớ
g i ơ s i	g i ớ i
l ư ơ f n g	l ư ờ n g
k ậ p	l ậ p
f ế	t ế
đ ổ	đ ổ i
t y y ê n	t u y ê n
a n m e l a	a n g e l a
đ ế g	đ ế n
v a r i	v ả i
c ư ớ l	c ư ớ p
m i	m i
s h í n h	c h í n h
t i ế h	t i ế n
6 4 g	6 4 g
s u a n h	q u a n h
g p	g ấ p
f i á	g i á
d ị	v ậ y
c m t	c o m m e n t
u ộ c	c u ộ c
c h u y e n	c h u y ê n
ự a	d ự a
đ ì h	đ ì n h
d ò n f	d ò n g
đ ô f n g	đ ồ n g
k u n h	h u ỳ n h
p e t g a e u s	p e t r a e u s
s à n	d à n
o t e	n o t e
y ă n q	t ă n g
đ j j n h	đ ị n h
d ự n f	d ự n g
h r c	h r c
s l o g a n	s l o g a n
t h ẫ n	t h u ẫ n
n f u y ệ n	n g u y ệ n
c ặ	c ặ p
t h y ế	t h u ế
x â h	x â y
m a k	m à
x o á y	x o á y
k j à u	g i à u
n y â n	n h â n
s ô r	s ổ
d u ớ i	d ư ớ i
u k m	ừ
y h ế	t h ế
v ả n g	c ả n g
k 0 ạ t	l o ạ t
m a l a y	m a l a y s i a
p b ả j	p h ả i
đ y	đ ầ y
c a u	c a u
p h a	c ả
n ã o o o o o	n ã o
c 0 s	c ó
f w n	f a n
i ạ i	l ạ i
u 4 j	h a i
đ í h	đ í c h
o ạ t	h o ạ t
s a n d	s a n d
đ á n	đ á n g
l á n g	l á n g
y h á c h	t h á c h
h ô i	h ô i
t r i ế t	t r i ế t
c l i p t v	c l i p t v
a x d e v e n t l i s t e n e r	a d d e v e n t l i s t e n e r
q ă n g	q u ă n g
m i l e y	m i l e y
p t ầ n	p h ầ n
a u s t r a p i a	a u s t r a l i a
v ư ơ t	v ư ợ t
p h e p	p h é p
k h i	k h a i
u n q	x u n g
l ã n	l ã n h
ấ t	m ấ t
c h í n t	c h í n h
t ạ	t ạ p
ư ơ n f	x ư ơ n g
j e o g y e o n	j e o n g y e o n
m a r s	m a r s
r ạ n g	t r ạ n g
b w n	b a n
b a g	b a n
q u u ế t	q u y ế t
h u j	h u y
s a f a h	s a r a h
ã n g	h ã n g
u ẹ o	k ẹ o
n h ư n r	n h ư n g
j u m a h o n g	j u m a h o n g
d ư ợ	d ư ợ c
t h u c	t h u ố c
f a n	f a n
n g ồ k	n g ồ i
c ố n q	c ố n g
k ư ơ n y	h ư ơ n g
c á s	c á c
t y m o s h e n k o	t y m o s h e n k o
f r á n g	t r á n g
f j n c t i o n	f u n c t i o n
y í n	t í n
g 8	g 8
p e t r a e i s	p e t r a e u s
t ô s c	t ố c
v h u y ê n	c h u y ê n
đ 4 r n q	đ ả n g
b ấ f	b ấ t
g l ú p	g i ú p
t u ê m	t h ê m
g i a p	g i a o
m a	m ã
n ặ n q	l ặ n g
l ụ y	l ụ y
m ã n q	m ã n g
p h i n	p h i n
đ ò k	đ ò i
u à n h	h à n h
r 3 m 0 v 3	r e m o v e
k ọ p	h ọ p
t o ê u	t i ê u
r ụ n g	r ụ n g
d k r	d k r
đ a t	đ ạ t
n o i	h o i
s a n n s	s a n n a
f í n	t í n
t j ê p	t i ế p
t n a n h	t h a n h
n h o e e e	n h ể
c h ư x	c h ữ
t i ê h	t i ê u
0 j ệ m	k i ệ m
ạ i	n ạ i
n q h j ê n	n g h i ê n
n h e j	n h ẹ
b a r n	b ả n
j o ặ c	h o ặ c
d ư ơ n h	d ư ơ n g
g ạ	g ạ o
đ ò j	đ ò i
ổ m	ổ n
k ế q	k ế t
n g ậ n	n h ậ n
r à n q	r à n g
z ạ	d ạ
n g ắ m	n g ắ m
l i v e s t r e a m	l i v e s t r e a m
d d j ề u	đ i ề u
n g ã	n g ã
t j 4	t i a
t x y	t a y
w i f i	w i f i
b ộ c	b ộ c
b n g	b ụ n g
c ù n t	c ù n g
h ạ m	h ạ n
q j ế n	b i ế n
j j ề m	n i ề m
đ a j g	đ a n g
đ n	đ à n
x u ồ n g	x u ồ n g
r r ả i	t r ả i
ì n h	đ ì n h
5 m b p s	5 m b p s
p t r a e u s	p e t r a e u s
k y á c h	k h á c h
l ẳ n g	l ẳ n g
n q u ợ c	n g ư ợ c
k 4 r j	h ả i
h ắ c	h ắ c
c h i y ê n	c h u y ê n
t y a y	t h a y
t r ư ở n q	t r ư ở n g
g ả n	b ả n
t h à n m	t h à n h
m w n b 0 u r n 3	m e l b o u r n e
a s p	á p
đ ộ n v	đ ộ n g
k h ố j	k h ố i
i ế t	k ế t
q u ỳ n h h	q u ỳ n h h
c ụ	v ụ
p ô n g	l ô n g
x u ố g g	x u ố n g
o f f s e t w a t c h p e d c e n t	o f f s e t w a t c h p e r c e n t
ổ i	n ổ i
s a g	s a y
p y á p	p h á p
s s	s a
j u ô i	n u ô i
s w i f t	s w i f t
b s	b s
e r d o g a n	e r d o g a n
c y	c â y
d o a n b	d o a n h
n i ê f m	n i ề m
p h u s	p h ú
g g à y	n g à y
d ă n	v ă n
s a n g	s à n g
l s v i e	l a v i e
i g g	i g g
s q i a d	s q u a d
r e s i z e n e w s i m a g w	r e s i z e n e w s i m a g e
x i ê b	x i ê m
j h ô n q	k h ô n g
t ả n q	t ả n g
t ì g h	t ì n h
o u g	o u t
g ê u	y ê u
t h ơ f i	t h ờ i
k ỏ n g	l ỏ n g
c m ứ c	c h ứ c
a l k a l o d	a l k a l o i d
c 4	c a o
x ứ n q	x ứ n g
m 4 n m s t r 0 3 m	m a l m s t r o e m
p y t h n	p y t h o n
l u o o n	l u ô n
c u	c ụ
k m á m	k h á m
t h y ê	t h u ê
đ a f	đ à
d o u b l e	d o u b l e
d u a	đ ứ a
đ w n	đ e n
n m i ệ m	n h i ệ m
r r ư n g	t r ư n g
f u n c t j 0 n	f u n c t i o n
t u u ể n	t u y ể n
q u â n t h a n h	q u â n t h a n h
n h ậ y	n h ậ t
a n d r e w	a n d r e w
k m u ô n q	k h u ô n g
đ a	đ a n
q á n	g á i
t w ớ n q	t ư ớ n g
n g m ỉ	n g h ỉ
đ ộ n h	đ ộ n g
t ế t	h ế t
t e ư ờ n g	t r ư ờ n g
đ 4	đ à
h ó p	g ó p
t h í c h	t h i
g ọ n	g ọ n
k 3 k	k e o
t ạ 0	t ạ o
t j â n	t h â n
n s 3 5 x	l s 3 5 x
t h z y	t h a y
h ỏ q	h ỏ a
t ổ n	t ổ n
f h o ạ i	t h o ạ i
d ư n g	d ư ơ n g
m à y	m y
k h i ể n	k h i ể n
ơ r	ở
s 1 0	s 1 0
2 k	2 k
b a l r a j	b a l r a m
c h ú n g	c h ứ n g
h i ố n g	h u ố n g
b ó n g	b ó n g
c ã	x ã
a n t t	a n t t
k n d e f i n e d	u n d e f i n e d
d u y n	d u y n
h ê n	t ê n
g o t t o	g o t t i
đ o i	đ ô i
n a f y	n à y
n h ủ	p h ủ
c á b h	c á n h
q ặ p	g ặ p
t a n h	t r a n h
o h ắ c	k h ắ c
c à g h	c à n h
o ẫ n	l ẫ n
t j ị	t h ị
y ự	t ự
t h 0 ế t	t h i ế t
n h i ê m	n g h i ê m
k j n	h i ệ n
k e t	k é t
n ê k	n ê u
t o ạ i	t h o ạ i
k ẽ j	k ẽ m
r ố i	r ố i
t h ề m	t h ề m
c e n i m	d e n i m
n ó k	n ó i
t h ả	t h ả n
c o á	q u á
h a y	h a y
c ố c	c ố c
t h ư ợ n q	t h ư ợ n g
s s 8	s s 8
c 4 n	c á n
g o	g õ
f h ổ i	t h ổ i
p h á	p h á t
b ả n	l à
g a y	g â y
n è	b è
đ ơ n	đ ơ n
l u i s	l u i s
r ặ n g	t ặ n g
b ạ b	b ạ n
t m ờ i	t h ờ i
c h	c h ú
z i n e d k n e	z i n e d i n e
k h o n g	k h o á n g
f o r e s t r	f o r e s t e r
d n 4 n h	d o a n h
t h	t h ị
ắ n h	ắ n g
b 7 8 7	b 7 8 7
v á n	v á n
q r 0 u p	g r o u p
t r u n n	t r u n g
n q ự 4	n h ự a
q 4 y	n g a y
m i l a n	m i l a n
c à n h	c à n h
c 4 t c h	c a t c h
n g ư ờ i	n g
d ụ n t	d ụ n g
t i ệ n	t h i ệ n
v i a d i m i r	v l a d i m i r
b ắ c	b ắ c
f u r r e n t	c u r r e n t
h t	h ạ t
b ơ j	b ơ i
g a n	g i a n
q u a n y	q u a n g
n h i ệ h	n h i ệ m
n à	m à
p b í	p h í
c a s c	c á c
t h i	t h ì
i ê n	l ê n
q h â n	q u â n
d ạ n	d ạ n
g r	g r o u p
t ư 0 w n q	t ư ơ n g
s ư s c	s ứ c
q h ự c	t h ự c
v n ệ c	v i ệ c
t ụ	t ụ c
k ĩ	k ĩ
n ú p	n ú p
t r 4 0	t r a o
s x	s e x
n u ố t	n u ố t
t r ô u	t r ô i
k j ể b	k i ể m
n g ư ờ j	n g ư ờ i
đ ă c	đ ặ c
c h i ế n	c h i ế m
d d ế n	đ ế n
q h k	g h i
c à n b	c à n g
s j n q	s o n g
v i e f	v i e f
c h i	c h o
g r u y ề n	t r u y ề n
a p p l d	a p p l e
l ỗ j	l ỗ i
q u ố c	l à
đ ă b g	đ ă n g
g i â s y	g i ấ y
g í c h	t í c h
x a n	c a n
c ố n g	c ố n g
h e n d e r s o n	h e n d e r s o n
đ ạ l	đ ạ o
t h	t h ử
k m ả o	k h ả o
s á n h	s á n g
j ợ	n ợ
l a p i	l a p i
y w s u b 3	y a s u b e
n n ậ n	n h ậ n
b ố	b ố
w 4 s h j q t 0 n	w a s h i n g t o n
s t s r t u p	s t a r t u p
q u y ế g	q u y ế t
n à j	l à m
r h ủ	t h ủ
n h ữ g	n h ữ n g
đ ư n g	đ ư ơ n g
t r 4 c k j n q	t r a c k i n g
k ư u	l ư u
d ị t	v ị t
n ẫ u	m ẫ u
p y ụ c	p h ụ c
c h i i	c h ị
v 4 n q	v a n g
0 h 3	o n e
q ạ c h	g ạ c h
d r a g u n	d r a g u n
k h ủ g g	k h ủ n g
c o m	c o m
p y o	p y o
n ấ m	n ấ m
n j ề n	l i ề n
n ự f	l ự c
q ó j	g ó i
t ô g	t ô n
k h o ả n	c h ồ n g
s ả 0	s ả o
n g w ờ i	n g ư ờ i
d o a b h	d o a n h
t h â f y	t h ầ y
h h a w e i	h u a w e i
n h n	n h ậ n
q u y ế f	q u y ế t
s ớ	s ớ m
đ ị c	đ ị c h
p ớ n	l ớ n
t 0 u r	t o u r
p h m	p h ẩ m
s ô t	s ố t
p h á c	p h á c
g p f	g p t
c h ò m	c h ò m
s u x y	s u z y
q ộ t	m ộ t
x u ố n q	x u ố n g
t t ư ờ n g	t r ư ờ n g
k h i ế p	k h i ế p
m a a y s s i a	m a l a y s s i a
s i ế c	c h i ế c
f r ả	t r ả
n m 0 á j	n g o á i
c h ư ơ m q	c h ư ơ n g
w ạ i	d ạ i
k y i	k h i
l y ô n	l u ô n
m a l l	m a l l
4 u	s a u
b à j	b à n
v ậ y	v ề
l à n	l à m
n h h ỉ	n g h ỉ
k ễ	l ễ
đ á n q	đ á n g
n h ậ b	n h ậ n
r u n	r u n
k n ô n g	k h ô n g
b u f f	b u f f
g r a b f i o d	g r a b f o o d
c h ú n n	c h ú n g
o h ố	p h ố
n a f o	n à o
n q h j ệ t	n g h i ệ t
d ụ m	d ụ m
c a r i	c ả i
t u e	t h e
g g ụ c	n g ụ c
n g j i ệ p	n g h i ệ p
t e x t a r s a	t e x t a r e a
l ê	l ê
u t	ú t
q j 4	g i a i
q 4 4 y	g â y
s c i e n c e	s c i e n c e
p s v r	p s v r
j s 3 4 3 n	i s r a e l
l ạ	l ạ
x o ắ n	x o ắ n
đ r n	đ e n
s ổ	s ổ
s p u r s	s p u r s
s u p l e r	s u p l e r
n h u j c	n h ụ c
h u p	h ú p
n u m a	n u m a
đ ả o	đ ả o
y h ẳ n g	t h ẳ n g
q j 3 0	g i e o
c h ặ n g	c h ặ n g
t ô n q	t ô n g
j ọ	h ọ
l e i u r e	l e i s u r e
g à o	v à o
n ì n h	h ì n h
c h ú n t	c h ú n g
t r 4 j n q	t r ạ n g
n ề	l ề
j j n h	l i n h
n u ồ n q	l u ồ n g
b i ệ r	b i ệ t
t r ì n h	t r ì n h
ữ u	h ữ u
s p i d e f	s p i d e r
t ư ờ n g	t h ư ờ n g
l u 1 5 2 0	l u 1 5 2 0
n ề n	l i ề n
v o l l e	v i l l e
d n s 3	e l s e
n g ử o	n g ử i
n o à n	h o à n
s h 3 v 4	s h e v a
q u ắ c	q u ắ c
u u	ư u
h ộ	b ộ
c h w a	c h ư a
c h ô	c h ô
t m ể	t h ể
k t ủ n g	k h ủ n g
p e e	p e t e
n u ô n n	n u ô n g
d 0 3 s	d o e s
z ị	v ị
c ò n g	d ò n g
q j	g i à
0 n n j v 3	o n l i v e
l ậ p	l ậ p
c h ầ y	t r ầ y
f l o r a	f l o r a
t h e t h e n	t h e t h e n
h ừ n g	h ừ n g
d ấ p	d ấ p
h ú	c h ú
a u s e	p a u s e
c h ắ m	c h ắ n
k g i	k h i
n h a n	n h â n
x o o i	x ô i
m a i	m a i
m ụ x	m ụ c
t e d	t e d
d j	d j
p ủ	p h ủ
k h ự a	k h ự a
d ồ	đ ồ
t a u	t à u
b j ệ q	b i ệ n
b u r n l e y	b u r n l e y
v ợ t	v ợ t
y ư ợ n g	t ư ợ n g
k ì n j	h ì n h
t h a n g	t h á n g
ô n g	c ô n g
v h ê h h	c h ê n h
d ã y	d ã y
s a r a h	s a r a h
đ ó n g	đ ó n g
n y q u y ê n	n y q u y ê n
i n h	t i n h
j n t 3	i n t e l
l ă p	l ắ p
t r z f f 0 r d	t r a f f o r d
m 4 x	m a x
n g ừ g g	n g ừ n g
n ê j	l ê n
k h i ế b	k h i ế n
x á	x á c
m ế n	m ế n
t r o	t r o
h ệ t	h ệ t
b ă n g	n ă n g
a b s	a b s
h a n a	h a n a
s á m	s á m
i ề n	t i ề n
m 3 t r p 0 n 3	m e t r o p o l e
k ồ q	h ồ n g
t e ạ m	t r ạ m
l ã g	l ã m
g i á n g	g i á n g
p z c j f n c	p a c i f i c
n h â p	n h ậ p
đ ả n	đ ả n g
đ â u	đ ầ u
b u ý t	b u ý t
v ẫ j	v ẫ n
p y ư ơ n g	p h ư ơ n g
s o	s ố
s ù n g	d ù n g
đ j	đ ổ i
b o ặ c	h o ặ c
m o g	m o n g
s â j	s â n
t ì n	t ì n h
b ụ	v ụ
v a n c h a n	v a n c h a n
g ậ p	g ậ p
n h ò	n h ở
q j ơ j	g i ớ i
t r a w m	t r ă m
g o a o	g i a o
r 4 m 3 s h	r a m e s h
n q ắ m	n g ắ m
n g z n g	n g a n g
h a n g	h ã n g
g d	g d
l e e	l e e
u o ạ t	h o ạ t
m g h i ệ m	n g h i ệ m
r ă f n q	r ằ n g
p h s	p h a
t r a s o	t r á o
m d s s i	m e s s i
h ị	t h ị
đ ả l	đ ả o
l ẽ	l ẽ
g ắ n g	g ắ n g
t a o	t ờ
c h	c h
f â m	t â m
b i ê s t	b i ế t
m a j n h	m ạ n h
t ú c	t ú c
e i i i i i i	ơ i
n n h i ệ m	n g h i ệ m
y i ố n g	g i ố n g
h ô s i	h ố i
l ư ơ	l ư ơ
â y	g â y
t h ư ơ n q	t h ư ơ n g
r o s s u m	r o s s u m
g y	g â y
ồ j	t ồ i
t ế	t ế t
c y ồ n g	c h ồ n g
d 0 n n 4 r u m b 4	d o n n a r u m m a
c u í n h	c h í n h
n ụ	l ụ c
i p	i p h o n e
k u f n j q	h u f l i t
m à i	m à y
h ạ k	h ạ i
c m ứ n g	c h ứ n g
h ơ	h ở
v ê	b ê
t ă n v	t ă n g
k b á	k h á
c n b	c l b
v 4 r j 4 b j n 3	v a r i a b i l e
m a d i d	m a d r i d
f a c e b o o k	f a c e b o o k
c t 4	c t 4
n g h ế c h	n g h ế c h
l h ả o	k h ả o
s s d	s s d
b h ổ i	b u ổ i
s ỹ	s ỹ
n q 4	l i g a
t r o g	t r o n g
b ạ n h	m ạ n h
c a l l	g ọ i
f i f a	f i f a
h ì n h	h ì n h
n v o ạ i	n g o ạ i
r ả i	r ả i
r ư ợ i	r ư ợ u
b ơ	b ơ
c j p u t r 4	c i p u t r a
q h é t	g h é t
b ố c	b ố c
t h u h ề n	t h u y ề n
k 0 ả n q	h o ả n g
0 h j ế n	k h i ế n
n q y j ê n	n g h i ê n
t y u ậ t	t h u ậ t
s ắ t	c ắ t
n a j	n a m
t a n g	t a n g
b á s	b á c
t r j n h	t r ì n h
x u â s t	x u ấ t
n à 0	l à o
f r e o	t r e o
d d á n h	đ á n h
x 4 x	x ã
c ầ h	c ầ n
v á c h	c á c h
h o e n	h o e n
m o j a v e	m o j a v e
x ư ơ n q	x ư ơ n g
n n ư ờ j	n g ư ờ i
t ư ơ b g	t ư ơ n g
p á	l á
t u	t u ệ
c ố h	c ố t
m a r c u s	m a r c u s
c w	c a
n h ấ c	n h ấ c
z 3 z n 4 n d	z e a l a n d
c u i ế c	c h i ế c
k 0 4 n q	h o a n g
t j r n h	t ỉ n h
c h h y ế n	c h u y ế n
t u ế n g	t i ế n g
đ ô j 4	đ ô l a
d k y	d u y
c ú n q	c ú n g
t h a m h	t h a n h
n h	n h
z e a l a j d	z e a l a n d
v ố j	v ố n
l a x n g	l ã n g
n j	l ờ i
t u u	t u y
đ i ể b	đ i ể n
k b ả	k h ả
d ạ q q	d ạ n g
k h á n h h	k h á n h h
p h ứ c	p h ứ c
p j á p	p h á p
n q y	n g u y
t h ự d	t h ự c
d 0 4 h h	d o a n h
d ụ n h	d ụ n g
k h a o	k h a o
m ù	m ù
p h a n y	p h a n h
đ o n	đ ơ n
d ừ m g	d ừ n g
d ạ j g	d ạ n g
r ộ g	r ộ n g
d ạ j	đ ạ i
g 2 0	g 2 0
k 4 m	h a m
u t a h	u t a h
h ặ c	h o ặ c
c h ò j	c h ò i
m u a	m u a
o a n h	d o a n h
c b ú n q	c h ú n g
f i ệ c	v i ệ c
t v	t v
n h ả y	n h ả y
r o n a d o	r o n a d o
j h j ế n	k h i ế n
đ ầ u	s ố n g
p h ế	p h i ế u
n g u t e n	n g u y e n
q ộ r	m ộ t
l ẹ t	l ẹ t
b ã o	b ã o
s e i u l	s e o u l
b n 0 c k	b l o c k
x á o	x á o
j m q	i m g
c h	c h ế
n é t	h é t
v ế t	v i ế t
t r w n h	t r a n h
h u a y r a	h u a y r a
b ú	b ú
c ũ b g	c ũ n g
q à n h	n g à n h
g m	g ồ m
c a r	c a r d
n 0 t 0 s	l o t o s
t h l á t	t h o á t
c h ẵ n g	c h ẳ n g
n q ô	n g ô
m p n g	m o n g
đ e	đ e m
t h u ộ c	t h u ộ c
r ổ	r ổ
a b c	a b c
t h ậ t	t h ậ t
l ư ợ t	l ư ợ t
e ô n g	s ô n g
o r d e e	o r d e r
l u ợ c	l ư ợ c
s d l f i e	s e l f i e
s t r e x e m a n n i	s t r e s e m a n n i
k h o a n	k h o á n
n o o n g	n ô n g
l ị c	l ị c h
h a m	h a m
s k i p a d s b t n c o n t e n t	s k i p a d s b t n c o n t e n t
c h y	c h ạ y
j ê n	n ê n
đ ư ờ n r	đ ư ờ n g
c u ă m	c h ă m
h i ê u	h i ể u
n ă h	n ă m
b ề	b ề n
t á i	t h á i
ô j g	ô n g
l w b	l w b
đ ẵ n	đ ẵ n
d n	d â n
t h ê n	t h ê m
r i n	r i n
d j s n 4 y	d i s p l a y
n ĩ n h	l ĩ n h
s a n t a f e	s a n t a f e
k ò n	h ò n
j 0 b s	j o b s
j 0 n q	j o n g
t i ê j n	t i ệ n
k h á n q	k h á n g
i ự c	l ự c
m q h è 0	n g h è o
n g h i ệ j	n g h i ệ m
j h à n g	n h à n g
n ô i	n ồ i
q 4 s n	g á n
l é o	k é o
c h c	c h ắ c
a u ố c	q u ố c
t i n u	t i n h
n ỗ j	l ỗ i
w r l e y	w a r l e y
l s	l e
n h ấ h	n h ấ t
s h ú	c h ú
đ i n	đ i n h
k i b h	k i n h
n g k y ễ n	n g u y ễ n
l ú c	l ú c
n h j ế u	k h i ế u
n h ã n	n h ã n
v o l c a n o	v o l c a n o
p u z h	p u s h
c n ỉ	c h ỉ
x i x	x i x
m ỳ	m ỳ
s ạ n h	c ạ n h
e o	đ é o
l ư ợ f	l ư ợ c
t h m	t h ă m
y ư ở n g	t ư ở n g
l a i	l a i
b a n g k o u	b a n g k o k
s u â s t	s u ấ t
đ n q	đ a n g
i ế c	t i ế c
q j f t	g i f t
c h u u ế n	c h u y ế n
k h ẳ m g	k h ẳ n g
d ạ y	d ạ y
l a u	l a u
c í c h	t h í c h
i ể n	b i ể n
j ạ o	m ạ o
s i	s ĩ
t à h	t à u
j ă m	n ă m
n g y ê n	n g u y ê n
m j ế j q	m i ế n g
k í c h	k ị c h
n a n	n a n
s p o r t	s p o r t
u p d 4 t 3	u p d a t e
c u ô s i	c u ố i
k 0 à b	h o à n
f h ư ợ n g	t h ư ợ n g
t m j ế u	t h i ế u
f ạ o	b ạ o
t ụ v	t ụ c
t r á n	t r á i
h u ố j g	h u ố n g
a d a m	a d a m
t j 4 n	g i a n
r â y	r â y
d i ê j n	d i ệ n
g u y	n g u y
đ ư ờ g g	đ ư ờ n g
b ó i	n ó i
g i ấ j	g i ấ y
a t r r	a t t r
p e r t j	p e r t h
c s g t	c s g t
g i ặ t	g i ặ t
c h i a n g r a i	c h i a n g r a i
h ã n	h ã n g
l l g	l o g
q l t t	q l t t
ậ p	ậ p
l à n g	l à n g
t h ắ p	t h ắ p
m a c h	m a c h
s h u r y g k n	s h u r y g i n
n h o	n h ỏ
n t a	n g a
r a n g	t r a n g
b ú o	b ú i
x i a m i	x i a o m i
v ã	v ã n
l ư ợ h g	l ư ợ n g
m à	b à
t ể u	t i ể u
f r r 4 r j	f e r r a r i
c n ứ n g	c h ứ n g
q j r n	g i r l
j b	j a i l b r e a k
v ù n q	d ù n g
j c k p o t	j a c k p o t
t ê n	t r ê n
b 0 w 3 n	b o w e n
t í	t í n
r i c h	r i c h
t 4 n	t á n
đ o	đ ô
c n	c ô n
đ á n	đ á n h
t ư n g	t ư ợ n g
p h ả n	p h ả i
s h à n t	c h à n g
t r ư ờ n r	t r ư ờ n g
k j ó	k h ó
c h ồ g	c h ồ n g
f ắ c	t ắ c
d 4 n h	d a n h
t á v h	t á c h
o h ụ	p h ụ
t t i ế t	t h i ế t
t e a n h	t r a n h
n q	ứ n g
g t v t	g t v t
q j ơ	g i ờ
x â n	x u â n
n q h ĩ 4	n g h ĩ a
s h a l o y	s h a l l y
f o n g	c o n g
y a r g e t i d	t a r g e t i d
s 3 r r 4 t u 4	s e r r a t u s
j o ạ t	h o ạ t
g ắ n	g ắ n
b ư ớ m	b ư ớ m
ư ơ m	ư ơ m
1 6 g b	1 6 g b
d n a	d n a
x a n h	x a n h
e c o n o m i s t	e c o n o m i s t
h ộ i	n ộ i
p h ô	p h ô
c h a n	c h a n
a m w r i c a	a m e r i c a
